Director,Release Year,MPAA Rating,IMDB Rank,Flick Rank
Frank Darabont,1994,R,1,5
Francis Ford Coppola,1972,R,2,3
Christopher Nolan,2008,PG13,4,15
Sidney Lumet,1957,NR,5,50
Steven Spielberg,1993,R,6,59
Peter Jackson,2003,PG13,7,69
Quentin Tarantino,1994,R,8,6
Sergio Leone,1966,NR,9,25
David Fincher,1999,R,10,11
Peter Jackson,2001,PG13,11,53
Robert Zemeckis,1994,PG13,13,68
Christopher Nolan,2010,PG13,14,104
Peter Jackson,2002,PG13,16,89
The Wachowskis,1999,R,17,39
Milos Forman,1975,R,18,23
Akira Kurosawa,1954,NR,20,18
David Fincher,1995,R,21,28
"Fernando Meirelles, KÃ¡tia Lund",2002,R,22,196
Jonathan Demme,1991,R,24,20
Frank Capra,1946,NR,25,123
Steven Spielberg,1998,R,27,60
Masaki Kobayashi,1962,NR,32,47
Bryan Singer,1995,R,33,48
"Roger Allers, Rob Minkoff",1994,G,34,133
Tony Kaye,1998,R,35,139
Robert Zemeckis,1985,PG,36,9
Charles Chaplin,1936,G,38,82
James Cameron,1991,R,39,49
Alfred Hitchcock,1960,NR,41,46
Ridley Scott,2000,R,42,153
Charles Chaplin,1931,G,43,13
Martin Scorsese,2006,R,44,109
Damien Chazelle,2014,R,45,174
Sergio Leone,1968,PG13,46,152
Christopher Nolan,2006,PG13,47,207
"Anthony Russo, Joe Russo",2019,PG13,48,243
Michael Curtiz,1942,PG,49,17
Isao Takahata,1988,NR,50,226
Alfred Hitchcock,1954,PG,51,12
Ridley Scott,1979,R,53,16
Steven Spielberg,1981,PG,54,4
Christopher Nolan,2000,R,55,79
Francis Ford Coppola,1979,R,56,54
Charles Chaplin,1940,G,57,119
Quentin Tarantino,2012,R,59,216
Stanley Kubrick,1980,R,62,19
Stanley Kubrick,1957,NR,63,55
Stanley Kubrick,1964,NR,65,29
Billy Wilder,1957,NR,69,205
James Cameron,1986,R,73,52
Sam Mendes,1999,R,74,197
Mel Gibson,1995,R,77,201
John Lasseter,1995,G,82,73
Quentin Tarantino,1992,R,83,22
Quentin Tarantino,2009,R,86,132
Gus Van Sant,1997,R,87,125
Fritz Lang,1931,NR,88,27
Stanley Kubrick,1968,G,90,88
Alfred Hitchcock,1958,PG,91,51
Michel Gondry,2004,R,92,161
Orson Welles,1941,NR,93,30
Stanley Kubrick,1987,R,94,74
Alfred Hitchcock,1959,NR,96,32
Stanley Kubrick,1971,R,97,57
Charles Chaplin,1921,NR,99,145
Vittorio De Sica,1948,NR,101,63
Brian De Palma,1983,R,102,185
"Stanley Donen, Gene Kelly",1952,NR,103,203
David Lean,1962,G,104,164
Martin Scorsese,1976,R,105,42
George Roy Hill,1973,PG,107,162
Fritz Lang,1927,NR,108,163
Sergio Leone,1965,R,109,159
Akira Kurosawa,1952,NR,110,10
Billy Wilder,1944,NR,111,31
Robert Mulligan,1962,NR,113,170
Steven Spielberg,1989,PG13,114,21
Billy Wilder,1960,NR,115,26
"Terry Gilliam, Terry Jones",1975,PG,119,24
Christopher Nolan,2005,PG13,123,105
Akira Kurosawa,1961,NR,124,36
John McTiernan,1988,R,125,33
Clint Eastwood,1992,R,126,158
Billy Wilder,1959,PG13,130,211
John Sturges,1963,NR,133,168
Hayao Miyazaki,1988,G,134,141
Akira Kurosawa,1985,R,135,183
Joseph L. Mankiewicz,1950,NR,137,112
Elem Klimov,1985,NR,140,237
Martin Scorsese,1980,R,142,102
John Huston,1948,NR,145,71
Roman Polanski,1974,R,149,58
Charles Chaplin,1925,NR,150,106
Alfred Hitchcock,1954,NR,151,186
Ingmar Bergman,1957,NR,155,84
Danny Boyle,1996,NR,158,244
Joel & Ethan Coen,2007,R,159,166
M. Night Shyamalan,1999,PG13,162,238
John Carpenter,1982,R,164,140
David Lean,1957,PG,165,195
Ridley Scott,1982,R,167,43
Carol Reed,1949,NR,168,34
Elia Kazan,1954,NR,169,91
Ingmar Bergman,1957,NR,171,85
Steven Spielberg,1993,PG13,172,70
Andrew Stanton,2003,G,173,240
Joel & Ethan Coen,1996,R,175,87
Michael Cimino,1978,R,177,217
YasujirÃ´ Ozu,1953,NR,178,77
Andrei Tarkovsky,1979,NR,179,122
Joel & Ethan Coen,1998,R,180,76
"Clyde Bruckman, Buster Keaton",1926,NR,188,56
Frank Capra,1939,NR,190,138
Ingmar Bergman,1966,NR,193,64
"Michael Powell, Emeric Pressburger",1948,NR,196,66
Henri-Georges Clouzot,1953,NR,198,45
Stuart Rosenberg,1967,NR,199,99
Sidney Lumet,1976,R,201,98
Carl Theodor Dreyer,1928,NR,204,81
Rob Reiner,1986,R,205,121
George Miller (II),2015,R,206,228
Stanley Kubrick,1975,PG,214,241
FranÃ§ois Truffaut,1959,NR,221,72
Billy Wilder,1951,NR,223,94
Alfred Hitchcock,1940,NR,225,157
John G. Avildsen,1976,PG,226,95
Frank Capra,1934,NR,228,75
Rob Reiner,1987,PG,233,44
George Roy Hill,1969,PG,236,127
James Cameron,1984,R,241,80
Wong Kar-Wai,2000,PG,242,176
Wim Wenders,1984,R,244,214
Gillo Pontecorvo,1966,NR,248,199
